loan_id,original_balance,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,vintage
LN0001060,217257,Fair,>90,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2018
LN0001061,247553,Poor,75-90,28-36,WA,Refinance,PrimaryResidence,SingleFamily,2021
LN0001062,198649,Fair,60-75,28-36,FL,Purchase,PrimaryResidence,Townhouse,2019
LN0001063,99849,Good,<=60,<=28,OH,Refinance,SecondHome,SingleFamily,2019
LN0001064,167688,Fair,60-75,28-36,NV,Purchase,Investment,SingleFamily,2019
LN0001065,269232,Good,60-75,<=28,AZ,Purchase,PrimaryResidence,SingleFamily,2021
LN0001066,142209,Poor,>90,28-36,IL,Purchase,PrimaryResidence,Condo,2022
LN0001067,278282,Good,60-75,>43,CA,Refinance,PrimaryResidence,Townhouse,2021
LN0001068,201966,Fair,60-75,28-36,AZ,Purchase,PrimaryResidence,SingleFamily,2021
LN0001069,178283,Excellent,60-75,28-36,WA,Purchase,PrimaryResidence,MultiUnit,2022
LN0001070,361158,Good,<=60,28-36,OH,CashOut,PrimaryResidence,Condo,2020
LN0001071,83360,Poor,>90,>43,NY,Purchase,PrimaryResidence,SingleFamily,2018
LN0001072,141823,Fair,<=60,<=28,AZ,CashOut,PrimaryResidence,SingleFamily,2020
LN0001073,368138,Good,<=60,>43,AZ,Purchase,PrimaryResidence,SingleFamily,2022
LN0001074,496344,Poor,<=60,28-36,CA,Purchase,Investment,Condo,2021
LN0001075,623432,Poor,75-90,>43,WA,Refinance,PrimaryResidence,SingleFamily,2019
LN0001076,203857,Good,60-75,28-36,IL,Purchase,SecondHome,SingleFamily,2019
LN0001077,249933,Good,75-90,<=28,GA,CashOut,PrimaryResidence,Townhouse,2022
LN0001078,299154,Good,60-75,28-36,FL,Purchase,PrimaryResidence,Townhouse,2018
LN0001079,376072,Fair,<=60,<=28,CA,Refinance,PrimaryResidence,SingleFamily,2022
LN0001080,232476,Good,>90,36-43,FL,Purchase,PrimaryResidence,Condo,2021
LN0001081,315866,Excellent,<=60,36-43,WA,Refinance,SecondHome,Townhouse,2022
LN0001082,250167,Poor,<=60,36-43,FL,Purchase,PrimaryResidence,SingleFamily,2019
LN0001083,258102,Poor,75-90,<=28,IL,Refinance,Investment,Condo,2021
LN0001084,125594,Fair,<=60,36-43,NY,Purchase,SecondHome,SingleFamily,2019
LN0001085,168618,Poor,<=60,28-36,GA,Refinance,PrimaryResidence,MultiUnit,2018
LN0001086,153064,Fair,75-90,>43,IL,Purchase,PrimaryResidence,SingleFamily,2020
LN0001087,109705,Fair,60-75,36-43,TX,Purchase,PrimaryResidence,Condo,2022
LN0001088,87046,Fair,60-75,28-36,GA,Refinance,PrimaryResidence,SingleFamily,2019
LN0001089,160843,Good,60-75,>43,FL,Purchase,PrimaryResidence,SingleFamily,2018
LN0001090,174217,Good,75-90,28-36,NY,Refinance,PrimaryResidence,MultiUnit,2022
LN0001091,209508,Excellent,<=60,28-36,OH,Refinance,Investment,SingleFamily,2022
LN0001092,262463,Fair,<=60,<=28,FL,Purchase,PrimaryResidence,Townhouse,2022
LN0001093,218395,Good,75-90,36-43,CA,Refinance,SecondHome,SingleFamily,2022
LN0001094,174825,Good,75-90,28-36,NY,Purchase,PrimaryResidence,SingleFamily,2022
LN0001095,125798,Good,>90,<=28,NY,Refinance,PrimaryResidence,Condo,2022
LN0001096,308209,Good,60-75,36-43,GA,Purchase,Investment,SingleFamily,2022
LN0001097,188921,Excellent,<=60,<=28,OH,Purchase,PrimaryResidence,Condo,2021
LN0001098,160028,Fair,60-75,36-43,CA,Refinance,PrimaryResidence,SingleFamily,2019
LN0001099,181094,Poor,75-90,<=28,OH,CashOut,Investment,SingleFamily,2020
LN0001100,137809,Excellent,<=60,28-36,OH,CashOut,Investment,Condo,2019
LN0001101,152460,Excellent,75-90,>43,TX,Refinance,PrimaryResidence,SingleFamily,2020
LN0001102,150057,Good,<=60,<=28,NY,Purchase,SecondHome,SingleFamily,2021
LN0001103,172186,Fair,75-90,36-43,OH,Purchase,PrimaryResidence,SingleFamily,2019
LN0001104,275923,Fair,75-90,36-43,WA,Purchase,PrimaryResidence,Townhouse,2018
LN0001105,243666,Excellent,60-75,>43,NY,Refinance,PrimaryResidence,SingleFamily,2021
LN0001106,430786,Fair,>90,<=28,OH,Purchase,PrimaryResidence,SingleFamily,2022
LN0001107,364347,Excellent,>90,36-43,GA,CashOut,PrimaryResidence,SingleFamily,2022
LN0001108,528718,Good,<=60,28-36,WA,Purchase,PrimaryResidence,Condo,2018
LN0001109,262913,Poor,60-75,28-36,CA,Purchase,PrimaryResidence,SingleFamily,2020
LN0001110,260811,Excellent,75-90,28-36,GA,Refinance,SecondHome,SingleFamily,2020
LN0001111,155794,Excellent,<=60,28-36,TX,Purchase,Investment,MultiUnit,2020
LN0001112,300441,Good,60-75,28-36,NV,Purchase,Investment,Townhouse,2021
LN0001113,143191,Fair,60-75,<=28,TX,Refinance,PrimaryResidence,MultiUnit,2020
LN0001114,95298,Poor,>90,28-36,CA,CashOut,Investment,SingleFamily,2022
LN0001115,426412,Poor,60-75,36-43,NY,Purchase,PrimaryResidence,SingleFamily,2022
LN0001116,106447,Excellent,75-90,28-36,NY,Purchase,PrimaryResidence,SingleFamily,2021
LN0001117,247564,Excellent,60-75,<=28,NY,Purchase,PrimaryResidence,SingleFamily,2020
LN0001118,128006,Fair,<=60,28-36,NV,Refinance,PrimaryResidence,Condo,2020
LN0001119,349176,Good,>90,28-36,FL,Purchase,PrimaryResidence,SingleFamily,2022
LN0001120,373799,Poor,<=60,36-43,AZ,Refinance,PrimaryResidence,SingleFamily,2019
LN0001121,259001,Fair,<=60,>43,TX,Purchase,Investment,SingleFamily,2022
LN0001122,370712,Excellent,60-75,28-36,GA,CashOut,PrimaryResidence,Condo,2020
LN0001123,199519,Fair,75-90,36-43,TX,Refinance,PrimaryResidence,SingleFamily,2018
LN0001124,607487,Excellent,60-75,<=28,FL,Refinance,PrimaryResidence,MultiUnit,2021
LN0001125,288682,Good,<=60,>43,TX,Purchase,PrimaryResidence,SingleFamily,2019
LN0001126,126718,Good,60-75,28-36,NY,Purchase,Investment,SingleFamily,2020
LN0001127,205829,Good,60-75,28-36,IL,Purchase,PrimaryResidence,Townhouse,2022
LN0001128,184194,Fair,<=60,<=28,AZ,Refinance,PrimaryResidence,SingleFamily,2021
LN0001129,175393,Fair,60-75,<=28,OH,Purchase,PrimaryResidence,MultiUnit,2021
LN0001130,86805,Poor,<=60,36-43,GA,Purchase,PrimaryResidence,MultiUnit,2018
LN0001131,241212,Poor,60-75,<=28,IL,Purchase,PrimaryResidence,Townhouse,2022
LN0001132,99421,Good,75-90,28-36,FL,Purchase,PrimaryResidence,SingleFamily,2019
LN0001133,56235,Excellent,75-90,<=28,FL,Purchase,PrimaryResidence,SingleFamily,2018
LN0001134,167375,Fair,60-75,>43,TX,Refinance,PrimaryResidence,SingleFamily,2022
LN0001135,136223,Poor,60-75,36-43,GA,Refinance,SecondHome,Condo,2018
LN0001136,129214,Good,60-75,>43,OH,Purchase,PrimaryResidence,SingleFamily,2019
LN0001137,50000,Good,>90,>43,WA,Refinance,PrimaryResidence,SingleFamily,2018
LN0001138,129907,Good,<=60,>43,WA,Purchase,PrimaryResidence,Townhouse,2021
LN0001139,182258,Excellent,<=60,28-36,NY,CashOut,PrimaryResidence,SingleFamily,2022
LN0001140,144773,Fair,60-75,<=28,NV,Refinance,PrimaryResidence,SingleFamily,2020
LN0001141,241269,Good,<=60,28-36,AZ,Purchase,PrimaryResidence,Condo,2022
LN0001142,398845,Fair,<=60,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2022
LN0001143,257347,Fair,<=60,36-43,OH,Purchase,PrimaryResidence,SingleFamily,2022
LN0001144,332101,Fair,75-90,<=28,NY,Purchase,PrimaryResidence,SingleFamily,2018
LN0001145,346127,Good,75-90,<=28,TX,Purchase,PrimaryResidence,SingleFamily,2019
LN0001146,119440,Good,75-90,36-43,FL,CashOut,SecondHome,SingleFamily,2019
LN0001147,247596,Fair,75-90,<=28,AZ,CashOut,PrimaryResidence,Condo,2021
LN0001148,326955,Fair,60-75,<=28,IL,Refinance,Investment,SingleFamily,2022
LN0001149,159854,Good,>90,<=28,AZ,Refinance,PrimaryResidence,SingleFamily,2019
LN0001150,133878,Poor,75-90,36-43,NY,Purchase,PrimaryResidence,Townhouse,2021
LN0001151,259160,Excellent,75-90,<=28,IL,Refinance,PrimaryResidence,MultiUnit,2018
LN0001152,94767,Poor,75-90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,2020
LN0001153,115381,Excellent,60-75,<=28,OH,Purchase,Investment,Townhouse,2021
LN0001154,142432,Excellent,60-75,36-43,NY,CashOut,PrimaryResidence,SingleFamily,2019
LN0001155,249012,Good,60-75,<=28,CA,Refinance,PrimaryResidence,SingleFamily,2018
LN0001156,221783,Excellent,<=60,<=28,FL,CashOut,PrimaryResidence,Townhouse,2020
LN0001157,333095,Excellent,60-75,>43,GA,Refinance,PrimaryResidence,SingleFamily,2021
LN0001158,125375,Excellent,<=60,>43,AZ,Purchase,SecondHome,SingleFamily,2022
LN0001159,122059,Good,<=60,<=28,NV,Refinance,SecondHome,MultiUnit,2021
LN0001160,258320,Fair,>90,28-36,FL,Purchase,PrimaryResidence,SingleFamily,2021
LN0001161,133341,Excellent,75-90,<=28,WA,CashOut,SecondHome,SingleFamily,2020
LN0001162,147008,Fair,75-90,36-43,IL,Purchase,PrimaryResidence,Condo,2022
LN0001163,78559,Fair,60-75,28-36,OH,Refinance,PrimaryResidence,SingleFamily,2022
LN0001164,229905,Excellent,75-90,>43,GA,Refinance,PrimaryResidence,SingleFamily,2022
LN0001165,429615,Excellent,>90,36-43,CA,Purchase,Investment,SingleFamily,2022
LN0001166,118818,Poor,75-90,28-36,TX,Purchase,PrimaryResidence,SingleFamily,2020
LN0001167,331323,Fair,75-90,<=28,WA,Purchase,PrimaryResidence,SingleFamily,2022
LN0001168,192972,Good,60-75,>43,WA,Purchase,PrimaryResidence,Condo,2021
LN0001169,82231,Fair,60-75,36-43,AZ,CashOut,PrimaryResidence,SingleFamily,2021
LN0001170,127088,Excellent,75-90,36-43,AZ,Purchase,Investment,Condo,2021
LN0001171,123224,Good,>90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,2018
LN0001172,169691,Fair,60-75,36-43,WA,Purchase,Investment,SingleFamily,2022
LN0001173,245182,Good,60-75,36-43,IL,Purchase,PrimaryResidence,Townhouse,2019
LN0001174,501050,Fair,60-75,>43,IL,Purchase,PrimaryResidence,SingleFamily,2021
LN0001175,97190,Good,60-75,28-36,CA,CashOut,PrimaryResidence,SingleFamily,2022
LN0001176,156000,Fair,>90,28-36,AZ,Refinance,PrimaryResidence,Townhouse,2018
LN0001177,127008,Good,75-90,28-36,TX,CashOut,PrimaryResidence,SingleFamily,2019
LN0001178,105451,Good,60-75,36-43,NV,Purchase,PrimaryResidence,SingleFamily,2022
LN0001179,208506,Excellent,60-75,>43,NV,Purchase,PrimaryResidence,SingleFamily,2019
LN0001180,198936,Excellent,60-75,28-36,AZ,Purchase,PrimaryResidence,Condo,2021
LN0001181,80265,Fair,<=60,<=28,TX,Purchase,PrimaryResidence,SingleFamily,2020
LN0001182,200601,Excellent,60-75,<=28,IL,Purchase,PrimaryResidence,Condo,2022
LN0001183,108803,Excellent,75-90,36-43,CA,Purchase,PrimaryResidence,Condo,2020
LN0001184,199968,Excellent,75-90,>43,GA,Refinance,PrimaryResidence,Condo,2020
LN0001185,375025,Excellent,<=60,<=28,AZ,Purchase,Investment,SingleFamily,2018
LN0001186,250580,Fair,75-90,28-36,WA,Refinance,PrimaryResidence,SingleFamily,2020
LN0001187,217240,Good,75-90,>43,CA,Refinance,PrimaryResidence,MultiUnit,2020
LN0001188,152606,Poor,60-75,28-36,NY,Refinance,PrimaryResidence,Townhouse,2021
LN0001189,205547,Excellent,75-90,<=28,TX,Purchase,PrimaryResidence,SingleFamily,2021
LN0001190,263452,Fair,75-90,28-36,IL,Refinance,Investment,SingleFamily,2021
LN0001191,250717,Good,75-90,28-36,NY,Purchase,PrimaryResidence,Condo,2020
LN0001192,189167,Good,<=60,<=28,AZ,Purchase,SecondHome,MultiUnit,2018
LN0001193,221613,Poor,<=60,36-43,FL,Purchase,PrimaryResidence,Townhouse,2019
LN0001194,102921,Poor,60-75,28-36,NY,Purchase,PrimaryResidence,Condo,2020
LN0001195,137699,Poor,<=60,36-43,FL,Purchase,PrimaryResidence,SingleFamily,2022
LN0001196,283163,Excellent,60-75,36-43,AZ,Refinance,PrimaryResidence,Condo,2021
LN0001197,302857,Excellent,75-90,<=28,FL,Refinance,SecondHome,MultiUnit,2022
LN0001198,208313,Fair,<=60,<=28,NV,Purchase,PrimaryResidence,SingleFamily,2022
LN0001199,416433,Good,60-75,<=28,GA,Purchase,PrimaryResidence,SingleFamily,2018
LN0001200,256275,Fair,>90,<=28,NY,Purchase,PrimaryResidence,SingleFamily,2018
LN0001201,176917,Good,60-75,36-43,WA,CashOut,PrimaryResidence,SingleFamily,2020
LN0001202,108025,Good,60-75,<=28,TX,Purchase,SecondHome,MultiUnit,2019
LN0001203,408140,Fair,75-90,36-43,NV,Purchase,PrimaryResidence,SingleFamily,2022
LN0001204,292189,Fair,<=60,<=28,NV,Purchase,Investment,Condo,2020
LN0001205,488529,Excellent,<=60,<=28,FL,Refinance,PrimaryResidence,SingleFamily,2018
LN0001206,587377,Excellent,75-90,<=28,TX,Purchase,Investment,SingleFamily,2019
LN0001207,104456,Fair,60-75,28-36,IL,Purchase,PrimaryResidence,SingleFamily,2019
LN0001208,104593,Good,60-75,36-43,OH,Purchase,Investment,SingleFamily,2018
LN0001209,50000,Good,<=60,36-43,GA,Refinance,PrimaryResidence,Condo,2019
LN0001210,314638,Good,75-90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,2020
LN0001211,276023,Fair,<=60,36-43,CA,CashOut,PrimaryResidence,Condo,2022
LN0001212,208749,Fair,75-90,36-43,FL,CashOut,SecondHome,Townhouse,2021
LN0001213,107681,Good,60-75,28-36,OH,Refinance,SecondHome,SingleFamily,2018
LN0001214,190133,Good,75-90,<=28,FL,CashOut,PrimaryResidence,SingleFamily,2020
LN0001215,218022,Good,60-75,<=28,AZ,Refinance,PrimaryResidence,MultiUnit,2021
LN0001216,294008,Good,<=60,<=28,FL,Purchase,PrimaryResidence,SingleFamily,2019
LN0001217,227861,Good,60-75,>43,AZ,Refinance,PrimaryResidence,SingleFamily,2020
LN0001218,277035,Good,75-90,28-36,NV,Refinance,PrimaryResidence,MultiUnit,2022
LN0001219,186826,Fair,<=60,28-36,OH,Refinance,PrimaryResidence,SingleFamily,2018
LN0001220,358879,Excellent,60-75,36-43,TX,Refinance,PrimaryResidence,Condo,2020
LN0001221,272628,Excellent,60-75,28-36,CA,Refinance,PrimaryResidence,SingleFamily,2021
LN0001222,109812,Excellent,60-75,36-43,TX,CashOut,PrimaryResidence,Condo,2021
LN0001223,398160,Poor,75-90,<=28,GA,Purchase,PrimaryResidence,Condo,2022
LN0001224,366878,Fair,<=60,28-36,GA,Refinance,PrimaryResidence,SingleFamily,2019
LN0001225,250881,Excellent,60-75,<=28,NV,Refinance,PrimaryResidence,SingleFamily,2020
LN0001226,228744,Poor,<=60,<=28,NV,CashOut,PrimaryResidence,SingleFamily,2022
LN0001227,455570,Good,60-75,28-36,NY,Purchase,PrimaryResidence,SingleFamily,2022
LN0001228,87846,Good,60-75,36-43,NY,Purchase,SecondHome,MultiUnit,2022
LN0001229,369761,Poor,60-75,36-43,OH,Purchase,Investment,MultiUnit,2021
LN0001230,156669,Excellent,60-75,36-43,OH,Purchase,PrimaryResidence,Condo,2019
LN0001231,343722,Excellent,>90,<=28,NY,Purchase,SecondHome,Condo,2019
LN0001232,211121,Good,60-75,>43,CA,Purchase,PrimaryResidence,SingleFamily,2021
LN0001233,106781,Excellent,75-90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,2019
LN0001234,155086,Fair,60-75,36-43,AZ,CashOut,PrimaryResidence,Condo,2021
LN0001235,331328,Excellent,60-75,36-43,NY,Purchase,Investment,SingleFamily,2020
LN0001236,178956,Excellent,<=60,28-36,OH,Purchase,PrimaryResidence,SingleFamily,2020
LN0001237,145693,Excellent,60-75,28-36,AZ,Refinance,PrimaryResidence,SingleFamily,2019
LN0001238,145206,Good,75-90,36-43,AZ,Purchase,PrimaryResidence,SingleFamily,2021
LN0001239,274065,Excellent,75-90,36-43,IL,Refinance,PrimaryResidence,Condo,2020
LN0001240,477021,Excellent,75-90,<=28,GA,Refinance,PrimaryResidence,SingleFamily,2019
LN0001241,68156,Poor,75-90,36-43,TX,Purchase,PrimaryResidence,Condo,2019
LN0001242,806405,Good,<=60,<=28,NV,Purchase,PrimaryResidence,Townhouse,2020
LN0001243,220107,Good,<=60,28-36,AZ,Purchase,PrimaryResidence,Townhouse,2021
LN0001244,265697,Excellent,75-90,36-43,NY,Purchase,PrimaryResidence,MultiUnit,2022
LN0001245,159830,Good,<=60,36-43,NY,Refinance,SecondHome,MultiUnit,2019
LN0001246,198440,Good,<=60,28-36,OH,Purchase,SecondHome,SingleFamily,2018
LN0001247,218875,Fair,>90,<=28,IL,Purchase,PrimaryResidence,Condo,2022
LN0001248,117647,Excellent,>90,28-36,OH,Purchase,PrimaryResidence,Condo,2018
LN0001249,132874,Poor,75-90,28-36,CA,Purchase,PrimaryResidence,Townhouse,2022
LN0001250,359433,Poor,60-75,28-36,FL,Purchase,PrimaryResidence,SingleFamily,2018
LN0001251,91475,Excellent,75-90,28-36,OH,Refinance,PrimaryResidence,SingleFamily,2019
LN0001252,247835,Excellent,60-75,36-43,NV,Purchase,PrimaryResidence,MultiUnit,2022
LN0001253,165171,Excellent,60-75,<=28,CA,Refinance,PrimaryResidence,Condo,2018
LN0001254,122963,Fair,60-75,<=28,OH,CashOut,PrimaryResidence,SingleFamily,2018
LN0001255,532834,Excellent,>90,28-36,CA,Refinance,PrimaryResidence,SingleFamily,2021
LN0001256,123346,Poor,>90,<=28,AZ,Purchase,SecondHome,SingleFamily,2018
LN0001257,112978,Fair,75-90,<=28,FL,Purchase,Investment,Condo,2018
LN0001258,181047,Fair,<=60,28-36,NY,Refinance,PrimaryResidence,Townhouse,2021
LN0001259,135363,Good,60-75,28-36,OH,Refinance,PrimaryResidence,Condo,2022
LN0001260,199424,Poor,60-75,28-36,AZ,CashOut,PrimaryResidence,MultiUnit,2021
LN0001261,214850,Excellent,>90,28-36,IL,Purchase,PrimaryResidence,SingleFamily,2022
LN0001262,223536,Good,<=60,>43,NY,Purchase,Investment,SingleFamily,2020
LN0001263,186848,Good,<=60,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2021
LN0001264,139933,Poor,75-90,28-36,NV,CashOut,PrimaryResidence,SingleFamily,2022
LN0001265,274224,Good,60-75,<=28,WA,Refinance,PrimaryResidence,MultiUnit,2020
LN0001266,187991,Fair,75-90,<=28,CA,CashOut,PrimaryResidence,Condo,2018
LN0001267,155156,Excellent,<=60,28-36,NV,Refinance,SecondHome,SingleFamily,2019
LN0001268,416647,Poor,75-90,36-43,GA,CashOut,PrimaryResidence,SingleFamily,2021
LN0001269,187089,Good,<=60,<=28,WA,Refinance,PrimaryResidence,Townhouse,2022
LN0001270,343174,Good,<=60,<=28,TX,CashOut,PrimaryResidence,SingleFamily,2021
LN0001271,367110,Poor,60-75,28-36,NV,CashOut,PrimaryResidence,SingleFamily,2020
LN0001272,378448,Good,60-75,28-36,OH,Refinance,PrimaryResidence,Condo,2019
LN0001273,280850,Good,75-90,>43,FL,CashOut,PrimaryResidence,Condo,2021
LN0001274,198726,Good,<=60,<=28,NY,Refinance,PrimaryResidence,SingleFamily,2022
LN0001275,192524,Excellent,<=60,<=28,NY,Refinance,PrimaryResidence,SingleFamily,2019
LN0001276,175947,Good,75-90,28-36,AZ,Refinance,PrimaryResidence,SingleFamily,2020
LN0001277,67275,Excellent,60-75,<=28,IL,Refinance,PrimaryResidence,SingleFamily,2020
LN0001278,284760,Excellent,75-90,<=28,AZ,Refinance,PrimaryResidence,SingleFamily,2019
LN0001279,224635,Poor,75-90,28-36,GA,Refinance,PrimaryResidence,SingleFamily,2020
LN0001280,300367,Good,<=60,28-36,NY,Purchase,PrimaryResidence,SingleFamily,2018
LN0001281,187493,Good,75-90,<=28,IL,Refinance,SecondHome,SingleFamily,2020
LN0001282,277177,Good,60-75,36-43,AZ,CashOut,PrimaryResidence,Condo,2018
LN0001283,99832,Good,60-75,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2020
LN0001284,110787,Fair,<=60,<=28,GA,Purchase,PrimaryResidence,SingleFamily,2022
LN0001285,57635,Poor,75-90,>43,TX,CashOut,SecondHome,SingleFamily,2018
LN0001286,185874,Poor,75-90,28-36,IL,Refinance,PrimaryResidence,SingleFamily,2019
LN0001287,135095,Good,60-75,>43,WA,Purchase,PrimaryResidence,Condo,2021
LN0001288,126539,Good,>90,>43,NY,Refinance,PrimaryResidence,SingleFamily,2022
LN0001289,234996,Good,60-75,28-36,AZ,Refinance,SecondHome,Townhouse,2022
LN0001290,160692,Good,>90,<=28,FL,Refinance,PrimaryResidence,Condo,2018
LN0001291,97095,Good,75-90,36-43,AZ,Purchase,PrimaryResidence,SingleFamily,2019
LN0001292,709547,Fair,>90,28-36,CA,Purchase,PrimaryResidence,Townhouse,2022
LN0001293,195144,Good,>90,<=28,IL,CashOut,PrimaryResidence,SingleFamily,2020
LN0001294,115660,Good,>90,28-36,WA,CashOut,PrimaryResidence,SingleFamily,2022
LN0001295,142213,Good,<=60,28-36,FL,Purchase,PrimaryResidence,SingleFamily,2018
LN0001296,182303,Good,75-90,>43,WA,CashOut,PrimaryResidence,Condo,2018
LN0001297,182111,Excellent,75-90,36-43,NV,Purchase,Investment,Condo,2019
LN0001298,381201,Excellent,75-90,>43,IL,Purchase,PrimaryResidence,Condo,2018
LN0001299,191048,Fair,60-75,36-43,WA,Refinance,PrimaryResidence,Townhouse,2022
LN0001300,502627,Good,>90,36-43,NV,Purchase,PrimaryResidence,Townhouse,2022
LN0001301,160137,Excellent,60-75,28-36,NV,Purchase,PrimaryResidence,SingleFamily,2019
LN0001302,246032,Good,60-75,>43,CA,CashOut,SecondHome,Townhouse,2018
LN0001303,331369,Fair,60-75,>43,OH,Refinance,SecondHome,SingleFamily,2018
LN0001304,361340,Good,<=60,36-43,AZ,Purchase,PrimaryResidence,Townhouse,2019
LN0001305,383055,Fair,75-90,36-43,NV,Purchase,SecondHome,SingleFamily,2021
LN0001306,173510,Poor,<=60,28-36,AZ,Refinance,PrimaryResidence,SingleFamily,2022
LN0001307,198244,Good,75-90,28-36,CA,Refinance,Investment,SingleFamily,2020
LN0001308,57543,Fair,75-90,>43,OH,Purchase,PrimaryResidence,SingleFamily,2022
LN0001309,180231,Excellent,60-75,<=28,AZ,Purchase,SecondHome,MultiUnit,2022
LN0001310,343048,Poor,75-90,<=28,WA,Refinance,PrimaryResidence,SingleFamily,2021
LN0001311,311270,Good,<=60,28-36,CA,Refinance,PrimaryResidence,SingleFamily,2018
LN0001312,190376,Poor,75-90,28-36,TX,CashOut,PrimaryResidence,Townhouse,2022
LN0001313,464896,Good,>90,28-36,FL,Purchase,Investment,Condo,2022
LN0001314,164061,Excellent,<=60,<=28,AZ,CashOut,PrimaryResidence,Condo,2020
LN0001315,138958,Excellent,75-90,<=28,TX,CashOut,PrimaryResidence,Townhouse,2020
LN0001316,157301,Fair,60-75,<=28,OH,Purchase,PrimaryResidence,SingleFamily,2021
LN0001317,113410,Good,60-75,28-36,TX,Purchase,PrimaryResidence,SingleFamily,2020
LN0001318,271358,Excellent,75-90,<=28,AZ,Refinance,PrimaryResidence,SingleFamily,2019
LN0001319,229633,Fair,60-75,36-43,CA,CashOut,PrimaryResidence,SingleFamily,2021
LN0001320,269679,Poor,75-90,<=28,FL,Purchase,Investment,SingleFamily,2021
LN0001321,161589,Good,60-75,28-36,TX,Purchase,PrimaryResidence,Condo,2018
LN0001322,193100,Good,60-75,28-36,WA,Refinance,Investment,SingleFamily,2021
LN0001323,66889,Excellent,>90,28-36,OH,Refinance,PrimaryResidence,Condo,2018
LN0001324,239932,Fair,<=60,>43,IL,Purchase,PrimaryResidence,Condo,2020
LN0001325,208860,Good,75-90,<=28,WA,Purchase,PrimaryResidence,SingleFamily,2018
LN0001326,114661,Poor,<=60,28-36,GA,Purchase,PrimaryResidence,SingleFamily,2022
LN0001327,188654,Good,75-90,36-43,IL,CashOut,PrimaryResidence,SingleFamily,2021
LN0001328,174743,Good,75-90,<=28,OH,Refinance,PrimaryResidence,Condo,2020
LN0001329,480295,Good,60-75,36-43,FL,Purchase,PrimaryResidence,SingleFamily,2020
LN0001330,116942,Excellent,60-75,>43,TX,CashOut,PrimaryResidence,MultiUnit,2021
LN0001331,234617,Fair,60-75,36-43,TX,Refinance,PrimaryResidence,SingleFamily,2018
LN0001332,115221,Good,>90,>43,TX,CashOut,PrimaryResidence,Condo,2020
LN0001333,150401,Good,60-75,28-36,CA,Purchase,PrimaryResidence,SingleFamily,2021
LN0001334,228298,Poor,60-75,28-36,CA,Purchase,Investment,SingleFamily,2019
LN0001335,178852,Poor,75-90,<=28,CA,Purchase,PrimaryResidence,SingleFamily,2020
LN0001336,198194,Poor,60-75,<=28,TX,Purchase,Investment,Condo,2019
LN0001337,234769,Excellent,60-75,<=28,GA,Refinance,Investment,SingleFamily,2018
LN0001338,155306,Good,60-75,28-36,FL,Refinance,SecondHome,MultiUnit,2022
LN0001339,309301,Poor,<=60,28-36,WA,Purchase,PrimaryResidence,SingleFamily,2020
LN0001340,170631,Good,75-90,<=28,CA,Refinance,PrimaryResidence,Townhouse,2019
LN0001341,189325,Excellent,>90,36-43,AZ,Refinance,PrimaryResidence,Townhouse,2019
LN0001342,238149,Fair,>90,<=28,NY,Refinance,PrimaryResidence,SingleFamily,2021
LN0001343,222682,Good,>90,28-36,IL,Purchase,PrimaryResidence,SingleFamily,2018
LN0001344,274337,Good,60-75,<=28,GA,CashOut,PrimaryResidence,SingleFamily,2020
LN0001345,232927,Poor,60-75,36-43,NV,Refinance,PrimaryResidence,SingleFamily,2019
LN0001346,251328,Fair,75-90,28-36,OH,CashOut,SecondHome,SingleFamily,2022
LN0001347,168942,Good,>90,36-43,IL,Refinance,PrimaryResidence,SingleFamily,2021
LN0001348,116496,Good,75-90,<=28,NY,Refinance,Investment,Condo,2021
LN0001349,97360,Good,60-75,28-36,NY,Purchase,SecondHome,SingleFamily,2018
LN0001350,86218,Excellent,75-90,>43,CA,Refinance,SecondHome,Townhouse,2018
LN0001351,479914,Fair,75-90,<=28,NY,Purchase,PrimaryResidence,SingleFamily,2020
LN0001352,65749,Fair,>90,28-36,OH,CashOut,Investment,SingleFamily,2019
LN0001353,361082,Good,75-90,<=28,FL,Purchase,PrimaryResidence,SingleFamily,2021
LN0001354,131869,Good,60-75,<=28,NY,Purchase,SecondHome,Townhouse,2021
LN0001355,359770,Poor,60-75,28-36,CA,Refinance,PrimaryResidence,MultiUnit,2019
LN0001356,66087,Excellent,60-75,<=28,FL,Refinance,PrimaryResidence,SingleFamily,2018
LN0001357,176743,Good,60-75,28-36,CA,Refinance,PrimaryResidence,Condo,2019
LN0001358,411272,Good,>90,>43,IL,Refinance,PrimaryResidence,SingleFamily,2020
LN0001359,283964,Fair,60-75,<=28,FL,Refinance,Investment,SingleFamily,2019
LN0001360,167940,Excellent,60-75,<=28,NV,CashOut,PrimaryResidence,SingleFamily,2019
LN0001361,75245,Fair,60-75,36-43,WA,Purchase,PrimaryResidence,MultiUnit,2019
